,date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,road_name,full_road_name,latitude,longitude
0,03-06-2022,4,3,3,6,10,37,115,181,367,264,253,226,257,227,232,274,275,216,153,95,47,55,50,24,Smollett Street,"Smollett Street, West of Wodonga Place",-36.082058,146.909347
1,03-06-2022,60,155,118,197,238,255,313,413,388,403,357,361,422,325,374,427,392,310,212,142,115,115,73,74,Pacific Highway,"Pacific Highway, South of Martins Lane",-33.71885,151.112745
2,03-06-2022,2,3,1519,13,22,36,56,61,63,71,104,119,122,125,149,148,121,92,68,39,19,3,4,10,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
3,03-06-2022,7,5,11,12,11,54,102,98,80,117,110,116,96,107,118,145,106,89,97,52,13,17,18,24,Jerrys Plains Road,"Jerrys Plains Road, East of Edderton Road",-32.453426,150.849686
4,03-06-2022,8,3,2,3,5,12,30,56,127,98,105,73,78,112,90,114,107,102,60,37,33,28,11,14,Olympic Highway,"Olympic Highway, North of Race Creek Road",-34.414322,148.248459
5,03-06-2022,19,11,9,7,34,87,201,267,288,298,309,373,342,447,519,594,622,352,187,173,162,97,62,44,Bourke Street,"Bourke Street, North of Fernleigh Road",-35.131641,147.353195
6,03-06-2022,14,10,7,12,8,20,38,61,93,116,79,81,82,97,106,110,132,126,57,48,13,29,14,12,Olympic Highway,"Olympic Highway, North of Calool Lane",-35.61998,147.044113
7,03-06-2022,46,51,62,63,42,73,161,244,327,231,232,238,250,232,275,265,275,262,154,107,85,91,77,61,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
8,03-06-2022,13,15,10,13,14,16,39,63,58,57,93,63,70,96,85,109,122,118,85,40,27,38,19,15,Olympic Highway,"Olympic Highway, North of Calool Lane",-35.61998,147.044113
9,03-06-2022,9,11,14,5,9,9,18,30,55,52,37,60,43,44,49,70,66,45,29,27,17,15,20,21,Newell Highway,"Newell Highway, East of Pine Hill Road",-34.738258,146.578354
10,03-06-2022,5,2,8,3,3,4,22,40,47,40,35,53,43,58,69,109,112,90,56,25,11,21,12,17,River Road,"River Road, South of Cross Street",-35.987396,146.621841
11,03-06-2022,3,3,2,2,1,17,27,93,140,117,101,93,72,99,120,117,112,97,85,51,44,18,9,8,Olympic Highway,"Olympic Highway, North of Mary Gilmore Road",-35.019356,147.417313
12,03-06-2022,6,3,2,4,2,12,26,64,73,55,64,56,78,92,79,118,139,164,115,58,49,40,23,16,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
13,03-06-2022,3,2,5,1,1,22,43,82,190,99,61,61,79,60,65,102,97,136,106,54,31,20,17,17,Holbrook Road,"Holbrook Road, North of Rowan Road",-35.19231,147.328308
14,03-06-2022,8,7,13,7,24,87,164,341,718,464,392,328,344,401,375,507,375,348,308,202,148,134,98,44,Bourke Street,"Bourke Street, North of Fernleigh Road",-35.131641,147.353195
15,03-06-2022,14,10,7,16,7,18,50,81,94,131,117,107,105,110,123,131,163,149,79,64,19,21,20,8,Olympic Highway,"Olympic Highway, North of Huon Street",-35.823685,146.993912
16,03-06-2022,1,3,4,9,8,39,62,79,67,61,54,55,52,50,46,55,66,47,21,15,11,21,9,7,River Road,"River Road, South of Cross Street",-35.987396,146.621841
17,03-06-2022,8,3,4,3,8,17,40,53,52,68,68,74,80,80,80,95,95,97,71,44,19,10,8,13,Olympic Highway,"Olympic Highway, North of Race Creek Road",-34.414322,148.248459
18,03-06-2022,45,19,13,21,25,38,100,158,318,423,465,497,602,506,640,675,736,656,419,214,154,152,113,72,Urana Road,"Urana Road, North of Griffith Road",-36.050468,146.932236
19,03-06-2022,16,4,4,4,4,13,49,127,175,208,200,209,198,236,244,293,324,340,217,115,62,82,62,43,Smollett Street,"Smollett Street, West of Wodonga Place",-36.082058,146.909347
20,03-06-2022,15,8,5,7,15,66,97,246,433,248,214,204,238,239,249,259,237,166,127,77,42,40,25,35,Sturt Highway,"Sturt Highway, West of Edward Street",-35.115742,147.338547
21,03-06-2022,8,4,3,3,13,8,17,22,58,65,67,52,66,56,55,80,52,66,37,31,26,16,16,11,Newell Highway,"Newell Highway, East of Pine Hill Road",-34.738258,146.578354
22,03-06-2022,9,6,4,4,6,8,17,17,30,25,27,39,36,35,30,28,33,29,32,23,16,14,10,12,Sturt Highway,"Sturt Highway, East of Boon Street",-34.519596,144.859116
23,03-06-2022,5,5,5,4,4,7,25,35,45,54,36,42,55,47,66,70,88,81,36,30,22,13,6,7,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
24,03-06-2022,8,7,3,8,5,11,33,60,72,88,85,74,57,61,63,72,85,75,51,22,18,22,20,13,Sturt Highway,"Sturt Highway, East of Keens Road",-34.290379,142.29097
25,03-06-2022,10,12,9,11,4,4,10,14,20,24,29,41,48,31,36,38,39,35,23,21,23,18,10,8,Sturt Highway,"Sturt Highway, West of Moama Street",-34.520679,144.833786
26,03-06-2022,6,9,6,2,4,6,25,31,34,34,32,39,49,34,25,24,25,16,15,20,17,17,14,9,Sturt Highway,"Sturt Highway, West of Moama Street",-34.520679,144.833786
27,03-06-2022,3,1,6,4,5,13,27,77,83,103,99,106,133,113,151,171,157,150,102,72,45,36,20,18,Murray Valley Highway,"Murray Valley Highway, North of River Road",-34.575878,142.76651
28,03-06-2022,21,11,4,9,10,21,57,154,152,185,185,167,171,166,193,227,245,261,198,157,95,53,52,39,Sturt Highway,"Sturt Highway, West of Carramar Drive",-34.174644,142.196579
29,03-06-2022,79,47,80,105,106,169,270,469,695,629,660,623,658,684,684,766,767,704,509,287,186,149,108,74,Great Western Highway,"Great Western Highway, South of Somerset Street",-33.678875,150.282959
30,03-06-2022,10,6,11,7,17,91,178,264,441,379,500,395,424,406,445,442,418,328,279,160,98,77,70,40,Urana Road,"Urana Road, North of Griffith Road",-36.050468,146.932236
31,03-06-2022,31,19,10,15,25,55,212,311,511,416,409,447,478,524,617,620,597,559,316,249,185,205,197,119,Wodonga Place,"Wodonga Place, North of Hume Street",-36.083645,146.909882
32,03-06-2022,4,3,1,1,1,4,9,23,23,20,14,29,23,29,15,20,13,16,8,9,12,7,6,5,Mid Western Highway,"Mid Western Highway, East of Yankee Crossing",-34.497395,144.916763
33,03-06-2022,31,38,52,39,81,66,147,203,172,210,238,250,294,320,320,363,352,293,152,92,56,66,36,10,Great Western Highway,"Great Western Highway, West of Glanmire Lane",-33.425926,149.691452
34,03-06-2022,26,16,19,19,15,27,39,95,119,151,147,137,127,143,182,234,244,220,175,115,71,73,36,34,Sturt Highway,"Sturt Highway, East of Tumbarumba Road",-35.161312,147.514038
35,03-06-2022,28,23,18,17,17,43,127,220,223,217,223,229,236,226,257,252,280,265,228,170,130,114,92,72,Sturt Highway,"Sturt Highway, South of Caravan Park Road",-34.183842,142.172943
36,03-06-2022,47,13,6,9,11,36,74,166,193,174,210,201,188,193,268,435,235,185,100,83,28,69,37,39,Castlereagh Highway,"Castlereagh Highway, North of Gemalong Close",-33.419147,150.102066
37,03-06-2022,18,19,13,24,28,86,155,142,128,178,144,149,196,177,218,187,234,173,86,49,19,24,19,16,Sturt Highway,"Sturt Highway, East of Tumbarumba Road",-35.161312,147.514038
38,03-06-2022,138,215,253,230,263,239,249,372,404,412,392,480,360,381,373,245,294,290,207,225,147,105,91,114,Pacific Highway,"Pacific Highway, West of Four Mile Lane",-33.71885,151.112745
39,03-06-2022,33,22,21,18,29,51,138,312,541,457,443,389,446,448,463,553,551,446,279,186,112,147,101,59,Sturt Highway,"Sturt Highway, South of Caravan Park Road",-34.183842,142.172943
40,03-06-2022,1,2,1,3,5,27,50,59,83,115,119,113,99,87,98,96,103,89,54,27,19,9,7,3,Kings Highway,"Kings Highway, North of Braidwood Street",-35.646713,150.139496
41,03-06-2022,13,5,1519,2,18,2,16,27,40,46,43,31,34,49,47,40,47,57,39,8,5,15,4,1,Pacific Highway,"Pacific Highway, North of Glen Ewan Road",-33.71885,151.112745
42,03-06-2022,19,1519,1519,9,6,18,62,76,67,58,89,81,83,73,97,61,62,69,54,29,10,17,12,17,Kamilaroi Highway,"Kamilaroi Highway, North of Tuppiari Road",-30.382442,149.795624
43,03-06-2022,19,42,31,43,47,132,205,275,376,352,352,394,362,421,420,515,537,493,298,177,141,82,61,36,Mitchell Highway,"Mitchell Highway, North of Favell Road",-33.362549,149.177856
44,03-06-2022,2,2,2,2,4,5,25,31,61,53,60,52,54,68,65,65,80,55,33,27,16,15,6,2,Goldfields Way,"Goldfields Way, North of Kitchener Road",-34.43811,147.529999
45,03-06-2022,19,12,12,18,15,20,48,74,97,79,93,71,96,105,118,114,150,165,96,57,34,38,23,28,Olympic Highway,"Olympic Highway, North of Huon Street",-35.823685,146.993912
46,03-06-2022,21,11,13,5,19,34,121,313,631,562,538,540,580,562,602,644,700,648,526,260,176,171,135,107,Wodonga Place,"Wodonga Place, North of Hume Street",-36.083645,146.909882
47,03-06-2022,16,6,10,5,5,11,48,105,183,167,218,223,285,270,305,327,430,466,169,114,70,64,52,37,Sturt Highway,"Sturt Highway, West of Edward Street",-35.115742,147.338547
